Topic,Count,Name,Representation,Representative_Docs,Top Keywords
557,19,557_suntrust_truist_merge_indicative,"['suntrust', 'truist', 'merge', 'indicative', 'disgrace', 'transition', 'nd', 'fun', 'intermittent', 'aswell']","['absolutely frustrating use SunTrust app year problem suddenly truist wrong password lock despite password store manager reset verify need text somehow truist completely wrong number account despite get SunTrust text year verify number long ago Truist continue bad account login system app ever use life could rate star', 'absolutely frustrating use SunTrust app year problem suddenly truist wrong password lock despite password store manager reset verify need text somehow truist completely wrong number account despite get SunTrust text year verify number long ago Truist continue bad account login system app ever use life could rate star', 'absolutely frustrating use SunTrust app year problem suddenly truist wrong password lock despite password store manager reset verify need text somehow truist completely wrong number account despite get SunTrust text year verify number long ago Truist continue bad account login system app ever use life could rate star']","suntrust, truist, merge, indicative, disgrace, transition, nd, fun, intermittent, aswell"
558,19,558_stopped_hundred_working_support,"['stopped', 'hundred', 'working', 'support', 'generally', 'per', 'hell', 'quit', 'stink', 'representative']","['App generally great use year suddenly say support per store page sure hell give', 'App generally great use year suddenly say support per store page sure hell give', 'App generally great use year suddenly say support per store page sure hell give']","stopped, hundred, working, support, generally, per, hell, quit, stink, representative"
559,19,559_install_advertisement_software_download,"['install', 'advertisement', 'software', 'download', 'javascript', 'vulnerable', 'attempt', 'lack', 'update', 'feel']","['download update install', 'download update install', 'download update install']","install, advertisement, software, download, javascript, vulnerable, attempt, lack, update, feel"
560,19,560_license_inapp_instill_mysteriously,"['license', 'inapp', 'instill', 'mysteriously', 'driver', 'clicking', 'cue', 'identification', 'photo', 'confidence']","['App break whatever reason fingerprint login work password long confusing mess try reset work clicking forgot password send back home screen really instill confidence bank app even work', 'despite description able add new Chase card Google Pay use app try verify fingerprint login app ask take photo driver license stop start twice take photo driver license front take photo license back app stop say could login take cue delete app photo doubt still store app server', 'despite description able add new Chase card Google Pay use app try verify fingerprint login app ask take photo driver license stop start twice take photo driver license front take photo license back app stop say could login take cue delete app photo doubt still store app server']","license, inapp, instill, mysteriously, driver, clicking, cue, identification, photo, confidence"
561,19,561_ech_shift_chalmette_louisiana,"['ech', 'shift', 'chalmette', 'louisiana', 'snowfall', 'feed', 'saving', 'tab', 'press', 'walk']","['work fine deposit check past year month ago stop let deposit check ech time press deposit tab lock give service currently available message make log back app galaxy phone', 'get app deposit record snowfall Chalmette Louisiana get bank deposit money pay bill HELP', 'get app deposit record snowfall Chalmette Louisiana get bank deposit money pay bill HELP']","ech, shift, chalmette, louisiana, snowfall, feed, saving, tab, press, walk"
562,19,562_lock_reinstalling_trouble_uninstalling,"['lock', 'reinstalling', 'trouble', 'uninstalling', 'continue', 'upload', 'opening', 'logo', 'middle', 'appreciate']","['trouble app lock open instal reinstall turn phone still lock', 'currently trouble get app beyond opening logo lock time help appreciate month later uninstalling reinstalling work still', 'currently trouble get app beyond opening logo lock time help appreciate month later uninstalling reinstalling work still']","lock, reinstalling, trouble, uninstalling, continue, upload, opening, logo, middle, appreciate"
563,19,563_capability_foundation_earthquake_oregon,"['capability', 'foundation', 'earthquake', 'oregon', 'unreponsive', 'reimplement', 'usaa', 'ownership', 'pocket', 'water']","['disappointed usaa current customer service make several change app bill pay capability customer focus please reimplement capability share bill joint account holder old capability near perfect new capability stink', 'disappointed usaa current customer service make several change app bill pay capability customer focus please reimplement capability share bill joint account holder old capability near perfect new capability stink', 'disappointed usaa current customer service make several change app bill pay capability customer focus please reimplement capability share bill joint account holder old capability near perfect new capability stink']","capability, foundation, earthquake, oregon, unreponsive, reimplement, usaa, ownership, pocket, water"
564,19,564_samsung_exceptional_programmer_hurricane,"['samsung', 'exceptional', 'programmer', 'hurricane', 'november', 'advanced', 'plz', 'power', 'fire', 'affect']","['app exceptional stop support Samsung November want back', 'app exceptional stop support Samsung November want back', 'app exceptional stop support Samsung November want back']","samsung, exceptional, programmer, hurricane, november, advanced, plz, power, fire, affect"
565,19,565_acknowledgment_borke_shared_freeze,"['acknowledgment', 'borke', 'shared', 'freeze', 'stamp', 'evaluation', 'transactions', 'admit', 'report', 'goodbye']","['app keep freeze Everyday Checking try look Scheduled Transactions happen shared Savings give edit suddenly start authentication fail error uninstalle reinstalled change password fix problem last update seem absolutely borke hell app day already hope get fix soon cause useful', 'app keep freeze Everyday Checking try look Scheduled Transactions happen shared Savings give edit suddenly start authentication fail error uninstalle reinstalled change password fix problem last update seem absolutely borke hell app day already hope get fix soon cause useful', 'app keep freeze Everyday Checking try look Scheduled Transactions happen shared Savings give edit suddenly start authentication fail error uninstalle reinstalled change password fix problem last update seem absolutely borke hell app day already hope get fix soon cause useful']","acknowledgment, borke, shared, freeze, stamp, evaluation, transactions, admit, report, goodbye"
566,19,566_bargain_barrel_followup_offshore,"['bargain', 'barrel', 'followup', 'offshore', 'unenrolle', 'outsource', 'flow', 'forgot', 'logon', 'india']","['India bargain barrel outsource offshore developer biometric enroll every logon App crash try process mobile deposit frequently hard really', 'India bargain barrel outsource offshore developer biometric enroll every logon App crash try process mobile deposit frequently hard really', 'India bargain barrel outsource offshore developer biometric enroll every logon App crash try process mobile deposit frequently hard really']","bargain, barrel, followup, offshore, unenrolle, outsource, flow, forgot, logon, india"
567,19,567_greendot_cardless_float_scratch,"['greendot', 'cardless', 'float', 'scratch', 'svc', 'tbh', 'prepaid', 'cust', 'indication', 'establish']","['horrible try establish cardless ATM replace first card get lose mail activate card show app literally overdraw check even want chat staff helpful Google scratch less Zelle give issue tbh huge inconvenience always end request verify person car ATM incredibly inconvenience', 'horrible try establish cardless ATM replace first card get lose mail activate card show app literally overdraw check even want chat staff helpful Google scratch less Zelle give issue tbh huge inconvenience always end request verify person car ATM incredibly inconvenience', 'horrible try establish cardless ATM replace first card get lose mail activate card show app literally overdraw check even want chat staff helpful Google scratch less Zelle give issue tbh huge inconvenience always end request verify person car ATM incredibly inconvenience']","greendot, cardless, float, scratch, svc, tbh, prepaid, cust, indication, establish"
568,19,568_login_quickly_let_way,"['login', 'quickly', 'let', 'way', 'could', '', '', '', '', '']","['login', 'let login could login way quickly', 'let login could login way quickly']","login, quickly, let, way, could, , , , , "
569,19,569_shameful_archaic_awful_lousy,"['shameful', 'archaic', 'awful', 'lousy', 'organization', 'size', 'horrible', 'quality', 'software', 'low']","['archaic app', 'awful app shameful organization size low quality software', 'awful app shameful organization size low quality software']","shameful, archaic, awful, lousy, organization, size, horrible, quality, software, low"
570,19,570_loan_anf_shark_owl,"['loan', 'anf', 'shark', 'owl', 'western', 'zone', 'imagine', 'needless', 'car', 'manage']","['stay away institution one step loan shark anf bad customer service imagine', 'App usually work fine absolutely hate shut auto loan section every night process payment even check balance time unfortunately night owl western time zone usually work budget need see balance loan detail seem like needless inconvenience', 'App usually work fine absolutely hate shut auto loan section every night process payment even check balance time unfortunately night owl western time zone usually work budget need see balance loan detail seem like needless inconvenience']","loan, anf, shark, owl, western, zone, imagine, needless, car, manage"
571,19,571_sit_availability_ugly_lookup,"['sit', 'availability', 'ugly', 'lookup', 'upsetting', 'unreal', 'buffer', 'route', 'negative', 'whenever']","['recently whenever try login app sit buffer open app ridiculous unable check availability balance make payment', 'recently whenever try login app sit buffer open app ridiculous unable check availability balance make payment', 'recently whenever try login app sit buffer open app ridiculous unable check availability balance make payment']","sit, availability, ugly, lookup, upsetting, unreal, buffer, route, negative, whenever"
572,19,572_losey_wire_recipient_divert,"['losey', 'wire', 'recipient', 'divert', 'unacceptab', 'operator', 'recieve', 'unlike', 'ultimately', 'routinely']","['wow start unlike bank debit card get send money recieve hold initial deposit unable access money day need spend time app decide lock attempt move money make call line call twice transfer ultimately tell help today ask go person could get money operator tell yes could', 'wow start unlike bank debit card get send money recieve hold initial deposit unable access money day need spend time app decide lock attempt move money make call line call twice transfer ultimately tell help today ask go person could get money operator tell yes could', 'wow start unlike bank debit card get send money recieve hold initial deposit unable access money day need spend time app decide lock attempt move money make call line call twice transfer ultimately tell help today ask go person could get money operator tell yes could']","losey, wire, recipient, divert, unacceptab, operator, recieve, unlike, ultimately, routinely"
573,18,573_agter_compramise_chrcke_canot,"['agter', 'compramise', 'chrcke', 'canot', 'nrw', 'nervious', 'acess', 'chore', 'cant', 'maneuver']","['cant open account make nervious', 'canot acess nrw account agter chrcke account compramise', 'canot acess nrw account agter chrcke account compramise']","agter, compramise, chrcke, canot, nrw, nervious, acess, chore, cant, maneuver"
574,18,574_safeguard_advertisement_strike_urge,"['safeguard', 'advertisement', 'strike', 'urge', 'wildly', 'inappropriate', 'shunt', 'cleary', 'disconcert', 'coupon']","['app useful lately constantly try sell thing strike wildly inappropriate bank safeguard fund urge spend want car loan look one', 'app useful lately constantly try sell thing strike wildly inappropriate bank safeguard fund urge spend want car loan look one', 'app useful lately constantly try sell thing strike wildly inappropriate bank safeguard fund urge spend want car loan look one']","safeguard, advertisement, strike, urge, wildly, inappropriate, shunt, cleary, disconcert, coupon"
575,18,575_autopay_amt_attach_pmt,"['autopay', 'amt', 'attach', 'pmt', 'overpay', 'uneasy', 'remain', 'reflect', 'cashback', 'fight']","['problem autopay fight month cancel schedule pmt seem work autopay full balance attach fix amt update balance change sad large bank', 'problem autopay fight month cancel schedule pmt seem work autopay full balance attach fix amt update balance change sad large bank', 'problem autopay fight month cancel schedule pmt seem work autopay full balance attach fix amt update balance change sad large bank']","autopay, amt, attach, pmt, overpay, uneasy, remain, reflect, cashback, fight"
576,18,576_tiday_upsetting_date_gliche,"['tiday', 'upsetting', 'date', 'gliche', 'afternoon', 'day', 'window', 'thank', 'properly', 'cache']","['app keep freeze day access date even clear cache frustrating upsetting able access fund', 'issue app tiday access', 'issue app tiday access']","tiday, upsetting, date, gliche, afternoon, day, window, thank, properly, cache"
577,18,577_switcharoo_twisted_sequence_reinvent,"['switcharoo', 'twisted', 'sequence', 'reinvent', 'plug', 'convoluted', 'moron', 'browser', 'embed', 'barrage']","['app bad thing USAA log use authentication code like secure app seem like moron want reinvent wheel twisted sequence switcharoo keep confused good thing web page still normal', 'app bad thing USAA log use authentication code like secure app seem like moron want reinvent wheel twisted sequence switcharoo keep confused good thing web page still normal', 'app bad thing USAA log use authentication code like secure app seem like moron want reinvent wheel twisted sequence switcharoo keep confused good thing web page still normal']","switcharoo, twisted, sequence, reinvent, plug, convoluted, moron, browser, embed, barrage"
578,18,578_front_read_sim_endorsement,"['front', 'read', 'sim', 'endorsement', 'model', 'pro', 'row', 'existent', 'connection', 'pixel']","['App long read front check late update matter print check write check read front since late update make mobile deposit impossible read back endorsement fine edit even today update read front check two update row front check capture mobile deposit back check still work useless mobile deposit Pixel Pro', 'App long read front check late update matter print check write check read front since late update make mobile deposit impossible read back endorsement fine edit even today update read front check two update row front check capture mobile deposit back check still work useless mobile deposit Pixel Pro', 'App long read front check late update matter print check write check read front since late update make mobile deposit impossible read back endorsement fine edit even today update read front check two update row front check capture mobile deposit back check still work useless mobile deposit Pixel Pro']","front, read, sim, endorsement, model, pro, row, existent, connection, pixel"
579,18,579_meal_schwab_banker_tier,"['meal', 'schwab', 'banker', 'tier', 'hijack', 'brokerage', 'bmo', 'tough', 'weekend', 'cool']","['App break login try use website problem try call minute wait want simple transfer buy meal happen thank bmo cool top tier banking', 'App break login try use website problem try call minute wait want simple transfer buy meal happen thank bmo cool top tier banking', 'App break login try use website problem try call minute wait want simple transfer buy meal happen thank bmo cool top tier banking']","meal, schwab, banker, tier, hijack, brokerage, bmo, tough, weekend, cool"
580,18,580_unrelated_extra_planner_processing,"['unrelated', 'extra', 'planner', 'processing', 'fee', 'charge', 'direct', 'custom', 'manual', 'additional']","['like extra fee make payment', 'charge unrelated fee', 'charge unrelated fee']","unrelated, extra, planner, processing, fee, charge, direct, custom, manual, additional"
581,18,581_reference_unhappy_kill_inform,"['reference', 'unhappy', 'kill', 'inform', 'somewhere', 'store', 'happy', 'iphone', 'moment', 'wife']","['suddenly say need update app sign access information app manager app say date ridiculous wife phone work fine iPhone Android reference code give switch bank resolve asap instal reinstall many time already work kick back give notification kill Truist', 'suddenly say need update app sign access information app manager app say date ridiculous wife phone work fine iPhone Android reference code give switch bank resolve asap instal reinstall many time already work kick back give notification kill Truist', 'suddenly say need update app sign access information app manager app say date ridiculous wife phone work fine iPhone Android reference code give switch bank resolve asap instal reinstall many time already work kick back give notification kill Truist']","reference, unhappy, kill, inform, somewhere, store, happy, iphone, moment, wife"
582,18,582_hard_manage_use_really,"['hard', 'manage', 'use', 'really', 'keep', 'bad', '', '', '', '']","['hard use', 'hard use', 'hard use']","hard, manage, use, really, keep, bad, , , , "
583,18,583_trash_garbage_unacceptable_absolute,"['trash', 'garbage', 'unacceptable', 'absolute', 'complete', 'completely', 'absolutely', 'later', 'online', 'year']","['absolutely TRASH even keep app online completely unacceptable', 'absolutely TRASH even keep app online completely unacceptable', 'absolutely TRASH even keep app online completely unacceptable']","trash, garbage, unacceptable, absolute, complete, completely, absolutely, later, online, year"
584,18,584_messed_ahold_effectively_revert,"['messed', 'ahold', 'effectively', 'revert', 'got', 'confuse', 'ruin', 'employee', 'incompatible', 'upsetting']","['use banking app since update even reinstall someone please fix get back pretty please Edit Got ahold version update go change revert messed alot region employee change back go website whatever update consider effectively make useless incompatible device even bank confuse', 'use banking app since update even reinstall someone please fix get back pretty please Edit Got ahold version update go change revert messed alot region employee change back go website whatever update consider effectively make useless incompatible device even bank confuse', 'use banking app since update even reinstall someone please fix get back pretty please Edit Got ahold version update go change revert messed alot region employee change back go website whatever update consider effectively make useless incompatible device even bank confuse']","messed, ahold, effectively, revert, got, confuse, ruin, employee, incompatible, upsetting"
585,18,585_dose_furious_uncompatible_face,"['dose', 'furious', 'uncompatible', 'face', 'old', 'screw', 'current', 'helpful', 'extremely', 'recent']","['dose face new phone', 'dose face new phone', 'dose face new phone']","dose, furious, uncompatible, face, old, screw, current, helpful, extremely, recent"
586,18,586_respectfully_wild_undo_autocomplete,"['respectfully', 'wild', 'undo', 'autocomplete', 'improper', 'fresh', 'incompatible', 'legacy', 'roll', 'across']","['use app year incompatible device whatever improvement try make respectfully request undo thank', 'use app year incompatible device whatever improvement try make respectfully request undo thank', 'use app year incompatible device whatever improvement try make respectfully request undo thank']","respectfully, wild, undo, autocomplete, improper, fresh, incompatible, legacy, roll, across"
587,18,587_note_lengthy_long_capture,"['note', 'lengthy', 'long', 'capture', 'tablet', 'android', 'run', 'work', 'hard', '']","['long work note', 'long work note', 'long work note']","note, lengthy, long, capture, tablet, android, run, work, hard, "
588,18,588_compatible_phn_apparently_long,"['compatible', 'phn', 'apparently', 'long', 'device', 'nice', 'state', 'friendly', 'user', 'say']","['long compatible device', 'long compatible device', 'long compatible device']","compatible, phn, apparently, long, device, nice, state, friendly, user, say"
589,18,589_sudden_plenty_suddenly_operating,"['sudden', 'plenty', 'suddenly', 'operating', 'compatible', 'stuck', 'beginning', 'device', 'total', 'disappointed']","['app open sudden say device compatible yet work plenty app ridiculous', 'app open sudden say device compatible yet work plenty app ridiculous', 'app open sudden say device compatible yet work plenty app ridiculous']","sudden, plenty, suddenly, operating, compatible, stuck, beginning, device, total, disappointed"
590,18,590_expirance_hurry_false_hate,"['expirance', 'hurry', 'false', 'hate', 'late', 'date', 'spending', 'update', 'day', 'bad']","['bad expirance', 'bad expirance', 'bad expirance']","expirance, hurry, false, hate, late, date, spending, update, day, bad"
591,18,591_display_displace_transction_history,"['display', 'displace', 'transction', 'history', 'installed', 'previou', 'incorrect', 'payee', 'overdrafte', 'accurately']","['account never display correct amount constantly overdrafte pay bill keep display false balance get different banking account definitely bank continue displace money accurately display much account least week', 'account never display correct amount constantly overdrafte pay bill keep display false balance get different banking account definitely bank continue displace money accurately display much account least week', 'account never display correct amount constantly overdrafte pay bill keep display false balance get different banking account definitely bank continue displace money accurately display much account least week']","display, displace, transction, history, installed, previou, incorrect, payee, overdrafte, accurately"
592,18,592_similar_compatible_suppose_decide,"['similar', 'compatible', 'suppose', 'decide', 'anymore', 'either', 'phone', 'soon', 'say', 'tell']","['say compatible phone anymore similar one use either', 'say compatible phone anymore similar one use either', 'say compatible phone anymore similar one use either']","similar, compatible, suppose, decide, anymore, either, phone, soon, say, tell"
593,18,593_gunpoint_optional_force_emergency,"['gunpoint', 'optional', 'force', 'emergency', 'forced', 'pain', 'update', 'want', 'people', 'change']","['force update gunpoint emergency', 'force update gunpoint emergency', 'force update gunpoint emergency']","gunpoint, optional, force, emergency, forced, pain, update, want, people, change"
594,18,594_income_minimize_pressure_bypass,"['income', 'minimize', 'pressure', 'bypass', 'annoyance', 'pester', 'bother', 'paperless', 'qualify', 'fully']","['request confirm income frequently close reopen bypass annoyance otherwise like app', 'request confirm income frequently close reopen bypass annoyance otherwise like app', 'request confirm income frequently close reopen bypass annoyance otherwise like app']","income, minimize, pressure, bypass, annoyance, pester, bother, paperless, qualify, fully"
595,18,595_unuser_payer_nil_annoyance,"['unuser', 'payer', 'nil', 'annoyance', 'reset', 'game', 'history', 'save', 'reply', 'painful']","['App buggy hard use hard set biometric hard change password let save password anywhere get back account without reset password forget unuser friendly', 'App buggy hard use hard set biometric hard change password let save password anywhere get back account without reset password forget unuser friendly', 'App buggy hard use hard set biometric hard change password let save password anywhere get back account without reset password forget unuser friendly']","unuser, payer, nil, annoyance, reset, game, history, save, reply, painful"
596,18,596_thd_extraneous_prominently_invite,"['thd', 'extraneous', 'prominently', 'invite', 'serve', 'anyway', 'solve', 'voice', 'instance', 'forth']","['tell message let read thd message', 'load extraneous useless function remove display take five step get transaction want instance feature prominently function call Snapshot need want disable remove would like invite people voice opinion issue', 'load extraneous useless function remove display take five step get transaction want instance feature prominently function call Snapshot need want disable remove would like invite people voice opinion issue']","thd, extraneous, prominently, invite, serve, anyway, solve, voice, instance, forth"
597,18,597_shore_fear_trust_lie,"['shore', 'fear', 'trust', 'lie', 'sketchy', 'city', 'behavior', 'straight', 'mistake', 'agent']","['trust company money shore agent lie waste time let use money account impossible get straight answer fear make mistake bank first place sketchy behavior trust money ever', 'trust company money shore agent lie waste time let use money account impossible get straight answer fear make mistake bank first place sketchy behavior trust money ever', 'trust company money shore agent lie waste time let use money account impossible get straight answer fear make mistake bank first place sketchy behavior trust money ever']","shore, fear, trust, lie, sketchy, city, behavior, straight, mistake, agent"
598,18,598_fraudulent_deposited_extensive_responsibility,"['fraudulent', 'deposited', 'extensive', 'responsibility', 'flag', 'confused', 'obvious', 'most', 'flagged', 'eye']","['business account friendly Most time unable Zelle transfer always put hold deposited check even check issue bank', 'bank flag extensive great amount fraudulent Zelle transfer credit card would negative checking despite call second fraudulent transfer make beware money disappear thing though obvious fraud', 'bank flag extensive great amount fraudulent Zelle transfer credit card would negative checking despite call second fraudulent transfer make beware money disappear thing though obvious fraud']","fraudulent, deposited, extensive, responsibility, flag, confused, obvious, most, flagged, eye"
599,18,599_checkbook_pending_present_transaction,"['checkbook', 'pending', 'present', 'transaction', 'unsolicited', 'balance', 'occur', 'underneath', 'run', 'see']","['like see balance every single transaction balance checkbook want see transaction amount occur new update', 'like see balance every single transaction balance checkbook want see transaction amount occur new update', 'like see balance every single transaction balance checkbook want see transaction amount occur new update']","checkbook, pending, present, transaction, unsolicited, balance, occur, underneath, run, see"
600,18,600_india_indian_chop_availablethen,"['india', 'indian', 'chop', 'availablethen', 'boysfrom', 'gpas', 'discrepancy', 'ira', 'challenging', 'firm']","['card year last year matter much pay much available without use availablethen available without transaction boysfrom India challenging customer service fight every time call gpas simple math always speak least people receive minimal help want different company switch soon year company', 'card year last year matter much pay much available without use availablethen available without transaction boysfrom India challenging customer service fight every time call gpas simple math always speak least people receive minimal help want different company switch soon year company', 'card year last year matter much pay much available without use availablethen available without transaction boysfrom India challenging customer service fight every time call gpas simple math always speak least people receive minimal help want different company switch soon year company']","india, indian, chop, availablethen, boysfrom, gpas, discrepancy, ira, challenging, firm"
601,18,601_june_frankly_junk_frame,"['june', 'frankly', 'junk', 'frame', 'week', 'assistance', 'scroll', 'act', 'least', 'clunky']","['work ridiculous June App work almost week call assistance last week tell Android work could give time frame uninstalle reinstall multiple time ridiculous App clunky long time frankly leave year customer lose get act together', 'work ridiculous June App work almost week call assistance last week tell Android work could give time frame uninstalle reinstall multiple time ridiculous App clunky long time frankly leave year customer lose get act together', 'work ridiculous June App work almost week call assistance last week tell Android work could give time frame uninstalle reinstall multiple time ridiculous App clunky long time frankly leave year customer lose get act together']","june, frankly, junk, frame, week, assistance, scroll, act, least, clunky"
602,18,602_becauseof_fantastically_witching_paymentis,"['becauseof', 'fantastically', 'witching', 'paymentis', 'wee', 'performance', 'amd', 'adjustment', 'bogge', 'cashback']","['work fine mostly really like send random cash back offer wee hour morning like think make critical financial decision witching hour', 'Great Design Poor Performance App use function fantastically past couple year update bogge performance point fast turn computer pay card way instead use app try make payment typically take minute load payment screen sometimes never load app freeze overall disappointing see great app slowly become unusable', 'Great Design Poor Performance App use function fantastically past couple year update bogge performance point fast turn computer pay card way instead use app try make payment typically take minute load payment screen sometimes never load app freeze overall disappointing see great app slowly become unusable']","becauseof, fantastically, witching, paymentis, wee, performance, amd, adjustment, bogge, cashback"
603,18,603_bane_glorified_recovery_frankly,"['bane', 'glorified', 'recovery', 'frankly', 'dangerous', 'boo', 'nonsense', 'emergency', 'count', 'finish']","['could give app star would glorified browser never work quite frankly dangerous consumer emergency need transfer access money hoop make jump ridiculous app decide want work every time PASSWORD RECOVERY exist APP', 'could give app star would glorified browser never work quite frankly dangerous consumer emergency need transfer access money hoop make jump ridiculous app decide want work every time PASSWORD RECOVERY exist APP', 'could give app star would glorified browser never work quite frankly dangerous consumer emergency need transfer access money hoop make jump ridiculous app decide want work every time PASSWORD RECOVERY exist APP']","bane, glorified, recovery, frankly, dangerous, boo, nonsense, emergency, count, finish"
604,18,604_difficult_sigh_tricky_alot,"['difficult', 'sigh', 'tricky', 'alot', 'way', 'hard', 'much', 'never', 'work', 'get']","['difficult', 'difficult', 'difficult difficult']","difficult, sigh, tricky, alot, way, hard, much, never, work, get"
605,18,605_evil_aweful_strand_greedy,"['evil', 'aweful', 'strand', 'greedy', 'stink', 'travel', 'awful', 'horrible', 'run', 'bank']","['bank EVIL BANK close bank travel keep strand take money AWFUL bank', 'bank EVIL BANK close bank travel keep strand take money AWFUL bank', 'bank EVIL BANK close bank travel keep strand take money AWFUL bank']","evil, aweful, strand, greedy, stink, travel, awful, horrible, run, bank"
606,18,606_availabile_rhe_reliably_lenovo,"['availabile', 'rhe', 'reliably', 'lenovo', 'smother', 'tablet', 'cooperative', 'laptop', 'vary', 'three']","['good work lately useless force use rhe website laptop', 'use work well long reliably availabile', 'use work well long reliably availabile']","availabile, rhe, reliably, lenovo, smother, tablet, cooperative, laptop, vary, three"
607,18,607_control_management_permission_awareness,"['control', 'management', 'permission', 'awareness', 'appropriate', 'thanks', 'location', 'insane', 'cool', 'deny']","['require permission access control phone call need another app control phone', 'require permission access control phone call need another app control phone', 'require permission access control phone call need another app control phone']","control, management, permission, awareness, appropriate, thanks, location, insane, cool, deny"
608,18,608_regions_foot_shoot_showing,"['regions', 'foot', 'shoot', 'showing', 'american', 'btw', 'soooo', 'magically', 'cool', 'replace']","['well Discover last update say compatible phone old Samsung still work great replace use app btw find problem American Express app would rather use shoot foot fix please', 'even know rate star open app today message showing phone mine long compatible Regions Bank app app work fine today look like magically uninstalle maybe rating clue question Regions bank app version compatible phone ask really look like', 'even know rate star open app today message showing phone mine long compatible Regions Bank app app work fine today look like magically uninstalle maybe rating clue question Regions bank app version compatible phone ask really look like']","regions, foot, shoot, showing, american, btw, soooo, magically, cool, replace"
609,18,609_capatible_actively_idiot_got,"['capatible', 'actively', 'idiot', 'got', 'depend', 'operating', 'mine', 'replace', 'begin', 'anytime']","['long use app many year able long capatible Samsung send complaint bank reply update operating system buy new phone use one app developer fix app cause issue begin', 'long use app many year able long capatible Samsung send complaint bank reply update operating system buy new phone use one app developer fix app cause issue begin', 'long use app many year able long capatible Samsung send complaint bank reply update operating system buy new phone use one app developer fix app cause issue begin']","capatible, actively, idiot, got, depend, operating, mine, replace, begin, anytime"
610,17,610_cantlog_unfixed_registry_position,"['cantlog', 'unfixed', 'registry', 'position', 'bear', 'judge', 'yr', 'item', 'birthday', 'month']","['judge account yr old position time everything', 'judge account yr old position time everything', 'judge account yr old position time everything']","cantlog, unfixed, registry, position, bear, judge, yr, item, birthday, month"
611,17,611_many_item_create_busy,"['many', 'item', 'create', 'busy', 'list', 'basic', 'window', 'problem', 'instead', 'several']","['many problem app', 'many item need fix list', 'many item need fix list']","many, item, create, busy, list, basic, window, problem, instead, several"
612,17,612_depositing_accessible_cash_cd,"['depositing', 'accessible', 'cash', 'cd', 'online', 'limit', 'easily', 'advance', 'party', 'check']","['online depositing accessible', 'online depositing accessible', 'online depositing accessible']","depositing, accessible, cash, cd, online, limit, easily, advance, party, check"
613,17,613_𝒅𝒂𝒎_𝒈𝒆𝒕_𝒉𝒂𝒑𝒑𝒆𝒏𝒆𝒅_𝒉𝒆𝒍𝒍,"['𝒅𝒂𝒎', '𝒈𝒆𝒕', '𝒉𝒂𝒑𝒑𝒆𝒏𝒆𝒅', '𝒉𝒆𝒍𝒍', '𝒎𝒐𝒃𝒊𝒍𝒆', '𝒕𝒉𝒓𝒐𝒖𝒈𝒉', '𝒕𝒉𝒆', '𝒂𝒑𝒑', '𝑾𝒉𝒂𝒕', '𝒂𝒄𝒄𝒐𝒖𝒏𝒕']","['𝒈𝒆𝒕 𝒅𝒂𝒎 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 𝒕𝒉𝒓𝒐𝒖𝒈𝒉 𝒎𝒐𝒃𝒊𝒍𝒆 𝒂𝒑𝒑 𝑾𝒉𝒂𝒕 𝒕𝒉𝒆 𝒉𝒆𝒍𝒍 𝒉𝒂𝒑𝒑𝒆𝒏𝒆𝒅', '𝒈𝒆𝒕 𝒅𝒂𝒎 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 𝒕𝒉𝒓𝒐𝒖𝒈𝒉 𝒎𝒐𝒃𝒊𝒍𝒆 𝒂𝒑𝒑 𝑾𝒉𝒂𝒕 𝒕𝒉𝒆 𝒉𝒆𝒍𝒍 𝒉𝒂𝒑𝒑𝒆𝒏𝒆𝒅', '𝒈𝒆𝒕 𝒅𝒂𝒎 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 𝒕𝒉𝒓𝒐𝒖𝒈𝒉 𝒎𝒐𝒃𝒊𝒍𝒆 𝒂𝒑𝒑 𝑾𝒉𝒂𝒕 𝒕𝒉𝒆 𝒉𝒆𝒍𝒍 𝒉𝒂𝒑𝒑𝒆𝒏𝒆𝒅']","𝒅𝒂𝒎, 𝒈𝒆𝒕, 𝒉𝒂𝒑𝒑𝒆𝒏𝒆𝒅, 𝒉𝒆𝒍𝒍, 𝒎𝒐𝒃𝒊𝒍𝒆, 𝒕𝒉𝒓𝒐𝒖𝒈𝒉, 𝒕𝒉𝒆, 𝒂𝒑𝒑, 𝑾𝒉𝒂𝒕, 𝒂𝒄𝒄𝒐𝒖𝒏𝒕"
614,17,614_circling_effectively_scheduled_load,"['circling', 'effectively', 'scheduled', 'load', 'tab', 'stuck', 'unusable', 'currently', 'activity', 'detail']","['horrible never load please fix update app never get account keep circling say get account', 'horrible never load please fix update app never get account keep circling say get account', 'horrible never load please fix update app never get account keep circling say get account']","circling, effectively, scheduled, load, tab, stuck, unusable, currently, activity, detail"
615,17,615_unexcusable_reliance_straighten_fancy,"['unexcusable', 'reliance', 'straighten', 'fancy', 'heavy', 'specifically', 'age', 'technology', 'application', 'unacceptable']","['garbage even open app unacceptable unexcusable day age heavy reliance technology application specifically', 'garbage even open app unacceptable unexcusable day age heavy reliance technology application specifically', 'garbage even open app unacceptable unexcusable day age heavy reliance technology application specifically']","unexcusable, reliance, straighten, fancy, heavy, specifically, age, technology, application, unacceptable"
